year,<1,1-4,5-9,10-14,15-19,20-39,40-59,60-64,65-69,70-79,>80,code
2020,776,1520,2845,3800,5008,23748,15801,2311,1602,1468,524,MG
2001,138,396,757,1151,1662,5659,2648,322,232,272,61,PA
2002,93,236,528,805,1122,4364,2154,245,185,179,58,PA
2003,87,237,479,774,1000,3579,1950,217,156,160,42,PA
2004,54,130,246,316,554,2045,1075,113,78,77,12,PA
2005,51,168,372,525,701,2649,1332,141,100,103,36,PA
2006,48,155,269,424,566,1959,1007,126,86,84,34,PA
2007,261,455,958,962,1069,4186,2201,232,168,159,46,PA
2008,242,607,1061,1085,1223,4540,2312,269,219,231,70,PA
2009,96,154,311,462,573,2262,1133,148,102,73,30,PA
2010,265,475,911,1283,1381,4901,2618,333,213,231,63,PA
2011,246,612,1081,1380,1580,5340,2762,291,228,277,67,PA
2012,250,348,735,1213,1500,5732,2788,340,227,226,77,PA
2013,121,269,510,703,976,3171,1489,178,124,147,35,PA
2014,52,132,185,314,398,1283,650,94,54,65,14,PA
2015,99,156,307,469,603,2407,1374,166,101,94,31,PA
2016,106,179,372,592,725,2780,1515,194,130,164,57,PA
2017,86,196,377,491,542,1996,992,124,88,93,39,PA
2018,52,59,108,162,189,724,397,47,31,22,10,PA
2019,47,95,161,215,247,808,452,68,34,37,10,PA
2020,38,54,110,149,184,814,445,63,40,33,12,PA
2001,43,212,376,569,753,2822,1547,239,183,215,63,PB
2002,73,302,462,772,1136,3985,2133,352,244,295,525,PB
2003,68,221,397,716,1059,3640,2076,313,235,257,254,PB
2004,20,27,36,54,78,287,144,17,9,11,5,PB
2005,51,129,224,364,465,1725,1090,137,123,114,36,PB
2006,45,55,93,131,165,712,371,49,44,37,8,PB
2007,126,226,364,498,549,2054,1276,166,120,146,52,PB
2008,133,245,417,395,397,1321,740,93,75,77,35,PB
2009,23,38,31,43,59,176,86,21,10,8,4,PB
2010,125,235,384,445,452,1566,912,97,79,93,36,PB
2011,178,484,706,919,813,2872,1617,218,150,162,51,PB
2012,140,187,352,611,649,3011,1491,168,90,99,25,PB
2013,206,332,427,705,936,3679,1776,231,150,164,65,PB
2014,136,234,291,327,324,1449,674,67,56,60,19,PB
2015,370,613,779,956,1132,5405,3256,417,294,382,149,PB
2016,302,462,795,1139,1141,5285,3750,551,524,709,339,PB
2017,34,50,94,133,286,1042,580,61,57,63,29,PB
2018,150,340,514,635,752,2415,1464,204,165,191,76,PB
2019,233,721,1534,1770,1727,4539,2215,291,196,203,71,PB
2020,91,226,282,300,316,1505,780,93,60,65,35,PB
2001,2,15,47,75,125,575,432,45,38,26,5,PR
2002,14,54,202,436,583,2479,1675,166,118,92,18,PR
2003,104,222,493,906,1166,4351,2712,341,277,263,83,PR
2004,0,2,3,9,6,49,36,1,0,5,0,PR
2005,2,12,30,71,91,433,289,36,31,12,1,PR
2006,5,10,41,76,117,482,320,47,30,28,2,PR
2007,171,290,886,1991,2549,9546,7491,1259,862,884,196,PR
2008,14,59,66,81,108,344,247,23,25,22,3,PR
2009,11,38,65,67,103,324,286,26,11,21,4,PR
2010,305,659,1400,3199,3614,12761,9215,1253,809,873,214,PR
2011,185,672,1319,2608,3073,10485,7417,1125,820,857,241,PR
2012,37,62,141,284,397,1362,1039,150,95,100,27,PR
2013,446,985,2154,4460,6112,20645,16859,2548,1965,2290,722,PR
2014,180,366,813,1600,2066,6936,5588,883,646,679,219,PR
2015,419,632,1433,2880,4160,14719,12321,2004,1503,1618,467,PR
2016,414,933,1796,3454,6052,21241,16753,2738,1898,2054,647,PR
2017,21,29,45,66,89,393,185,28,20,17,15,PR
2018,11,22,50,59,70,328,238,31,24,25,7,PR
2019,397,862,1823,2980,3434,14628,12230,1993,1397,1531,454,PR
2020,2318,5185,10391,15577,19269,84666,67527,11117,8352,9022,3171,PR
2001,169,526,671,964,1275,5285,2839,352,269,289,99,PE
2002,921,3860,5352,7549,9750,42088,20345,2396,1656,1883,560,PE
2003,244,652,746,1034,1563,5927,2965,418,289,323,112,PE
2004,45,91,146,184,245,777,391,54,45,52,14,PE
2005,63,181,308,417,527,2032,1152,137,109,100,38,PE
2006,129,392,619,731,778,2982,1747,176,138,131,32,PE
2007,457,1227,1611,1335,1462,5405,2939,367,250,239,69,PE
2008,403,988,1740,1465,1374,5063,2475,286,195,173,53,PE
2009,49,79,158,161,194,743,385,50,31,24,6,PE
2010,623,1590,3683,3897,2517,9419,5148,598,459,455,104,PE
2011,348,836,1443,1582,1325,4633,2676,347,192,204,64,PE
2012,456,957,1578,2482,2542,11096,6075,711,413,368,120,PE
2013,89,176,279,348,492,1998,926,107,58,64,18,PE
2014,205,268,367,566,718,3011,1404,153,95,89,25,PE
2015,1898,4085,4753,5329,5711,26416,17186,2254,1640,1764,622,PE
2016,745,1656,2391,2857,3214,13812,9170,1485,1151,1620,712,PE
2017,159,391,466,420,672,2115,967,120,110,97,48,PE
2018,178,495,830,711,620,2169,1140,126,85,90,30,PE
2019,523,1076,2441,2523,2419,7658,3989,467,321,385,109,PE
2020,288,404,724,730,838,4303,2554,274,173,213,53,PE
2001,31,198,336,629,1071,3678,1876,263,162,220,55,PI
2002,28,139,288,545,995,3526,1783,217,143,168,49,PI
2003,83,123,298,616,1070,3791,2026,300,201,238,60,PI
2004,9,12,31,43,87,285,185,30,27,18,7,PI
2005,38,65,148,263,472,1539,1022,155,122,156,51,PI
2006,59,116,227,281,370,1505,880,137,101,86,30,PI
2007,290,586,859,795,962,3243,1915,254,179,203,70,PI
2008,65,161,202,171,176,790,405,55,29,19,10,PI
2009,72,124,225,312,359,1345,726,137,87,88,32,PI
2010,145,224,459,543,593,2080,1265,164,173,136,32,PI
2011,174,369,746,917,1029,3585,1755,190,139,203,66,PI
2012,181,228,475,790,1188,4488,2068,270,185,207,68,PI
2013,64,129,213,287,417,1691,812,115,59,93,33,PI
2014,92,173,381,596,803,2811,1277,157,107,128,33,PI
2015,83,195,304,377,627,3010,1439,162,116,111,36,PI
2016,70,93,151,211,380,1637,717,100,88,97,38,PI
2017,44,71,169,260,446,1856,935,139,121,135,64,PI
2018,26,30,61,71,172,736,305,47,31,36,12,PI
2019,141,178,539,731,799,2687,1272,174,137,141,51,PI
2020,42,65,112,142,179,812,439,43,27,38,16,PI
2001,90,594,1449,2633,3307,15652,9940,1049,672,585,149,RJ
2002,503,3944,8069,11361,14205,62142,36950,4229,3115,3151,982,RJ
2003,9,30,51,94,151,658,424,53,40,34,9,RJ
2004,0,2,7,10,14,69,31,3,3,3,2,RJ
2005,4,14,27,25,28,134,96,7,6,4,2,RJ
2006,30,104,309,623,608,2669,1878,207,139,112,39,RJ
2007,233,460,1581,2190,2090,8833,6614,809,580,640,154,RJ
2008,1313,3443,9343,10723,7143,22858,14774,1746,1243,1379,406,RJ
2009,66,177,314,360,310,1277,805,85,73,55,23,RJ
2010,303,594,1393,2257,1868,6458,4637,509,423,399,110,RJ
2011,2011,6139,11858,17400,14049,42121,25204,3304,2222,2267,729,RJ
2012,688,1175,2766,6509,6949,22232,14929,2074,1225,1292,339,RJ
2013,1234,2153,4924,10644,14746,54325,37101,4924,2952,3046,847,RJ
2014,84,177,145,266,361,1346,774,107,69,72,29,RJ
2015,547,899,1826,3250,4068,14629,11007,1743,1114,1157,357,RJ
2016,600,942,1916,2874,3522,14710,10715,1701,1263,1283,482,RJ
2017,125,197,343,504,736,2624,1527,222,166,155,57,RJ
2018,94,171,406,605,735,3270,2239,400,254,253,92,RJ
2019,247,545,1160,1623,2061,9313,6896,1112,809,696,285,RJ
2020,53,97,133,147,179,1016,605,65,42,46,15,RJ
2001,126,405,696,1231,1578,7250,4006,538,357,421,115,RN
2002,71,279,472,753,1075,4649,2516,340,254,293,82,RN
2003,97,206,390,662,937,3731,2250,289,200,233,85,RN
2004,22,40,73,96,134,608,359,47,33,30,10,RN
2005,39,86,143,248,366,1600,904,106,91,84,39,RN
2006,85,190,277,339,533,2359,1258,154,101,121,31,RN
2007,129,305,448,516,595,2412,1348,177,129,132,36,RN
2008,330,944,1552,1184,986,4067,2308,313,190,211,99,RN
2009,21,38,44,32,31,150,79,3,9,6,3,RN
2010,71,137,283,287,298,1076,660,108,64,55,8,RN
2011,341,804,1410,1334,1258,4346,2608,330,193,221,100,RN
2012,232,482,763,1164,1253,5134,2965,361,243,227,102,RN
2013,162,296,522,716,1046,4393,2608,333,249,272,79,RN
2014,127,171,285,348,399,1540,921,140,94,102,38,RN
2015,128,267,341,379,454,2352,1606,164,112,124,30,RN
2016,173,333,577,795,886,3586,2291,307,313,418,194,RN
2017,39,94,118,146,208,845,375,29,30,49,23,RN
2018,356,1100,1554,1431,1113,3529,1920,264,171,164,86,RN
2019,168,376,606,700,885,3840,2403,349,268,294,146,RN
2020,54,129,191,168,227,1331,723,99,51,85,30,RN
2001,0,0,0,2,3,15,13,2,1,0,0,RS
2002,3,1,4,15,27,151,117,16,9,6,0,RS
2003,0,0,1,0,0,23,15,3,3,1,0,RS
2004,0,0,0,0,1,10,5,0,1,0,0,RS
2005,0,0,0,0,2,19,16,1,1,0,0,RS
2006,0,2,2,3,3,28,21,1,5,3,0,RS
2007,1,4,12,31,29,144,120,24,6,8,3,RS
2008,0,2,0,1,3,53,24,7,2,0,0,RS
2009,0,0,0,0,4,20,15,1,0,1,0,RS
2010,32,117,156,217,280,1250,936,159,105,185,34,RS
2011,0,1,3,9,26,119,111,17,11,9,1,RS
2012,1,0,1,9,2,45,36,8,5,5,0,RS
2013,0,3,10,16,34,155,142,15,10,7,1,RS
2014,0,0,1,5,8,39,21,3,3,3,3,RS
2015,7,10,31,59,87,399,457,79,62,72,26,RS
2016,13,26,68,133,229,904,716,152,102,107,28,RS
2017,0,0,0,2,2,9,9,1,2,0,0,RS
2018,0,0,0,3,0,11,5,2,3,1,0,RS
2019,8,19,36,82,107,528,407,84,41,39,9,RS
2020,30,59,110,208,267,1338,1122,170,128,160,46,RS
2001,3,26,48,71,96,462,234,28,18,15,6,RO
2002,24,31,60,109,138,527,326,34,17,19,1,RO
2003,23,60,120,209,309,1362,671,72,45,27,9,RO
2004,22,54,105,215,339,1335,856,79,54,68,13,RO
2005,29,80,183,340,492,2025,1067,107,82,75,19,RO
2006,29,52,113,241,311,1257,752,77,59,68,17,RO
2007,19,30,66,164,241,876,530,51,30,44,3,RO
2008,42,62,169,272,351,1620,1099,110,78,62,20,RO
2009,232,421,721,1106,1468,5944,3183,310,293,247,82,RO
2010,261,664,1014,1463,2054,7691,3888,413,288,382,109,RO
2011,28,59,104,161,232,696,391,44,28,39,17,RO
2012,39,63,114,154,312,793,519,50,49,47,22,RO
2013,57,169,311,403,714,2545,1551,165,131,183,39,RO
2014,27,71,106,144,151,598,388,45,31,47,10,RO
2015,40,52,107,125,188,676,493,50,34,57,13,RO
2016,109,188,269,370,480,2030,1317,135,102,94,39,RO
2017,38,83,116,120,174,682,445,63,36,45,18,RO
2018,12,35,46,30,49,186,111,18,11,13,4,RO
2019,24,40,48,56,89,310,228,29,19,27,12,RO
2020,77,134,224,242,250,1297,989,104,82,69,23,RO
2001,39,50,111,206,295,1401,681,50,34,32,11,RR
2002,21,29,65,99,95,546,287,26,18,24,4,RR
2003,92,146,238,330,538,2337,1014,88,74,70,17,RR
2004,19,23,45,43,60,247,118,7,7,4,3,RR
2005,30,71,126,214,248,1049,467,34,25,17,10,RR
2006,12,41,52,83,87,398,205,15,13,15,1,RR
2007,5,20,46,59,46,245,155,13,7,10,0,RR
2008,63,129,253,334,350,1552,796,71,55,67,15,RR
2009,45,102,201,239,316,1344,673,90,39,53,14,RR
2010,92,290,452,656,799,2634,1357,156,90,199,28,RR
2011,12,35,45,69,136,525,265,30,18,33,4,RR
2012,29,51,92,157,209,751,375,47,27,24,4,RR
2013,29,50,51,77,109,317,185,20,17,9,4,RR
2014,57,71,73,77,96,306,143,24,12,16,3,RR
2015,17,44,67,81,97,378,239,21,14,17,3,RR
2016,9,4,13,19,31,74,35,3,4,2,1,RR
2017,14,22,36,41,14,37,26,2,2,1,1,RR
2018,13,7,11,12,12,33,14,0,1,1,1,RR
2019,37,102,165,243,190,525,259,28,19,19,3,RR
2020,18,42,71,62,49,153,81,5,4,7,2,RR
2001,0,0,0,0,2,17,11,1,2,0,0,SC
2002,1,3,9,7,13,94,87,6,4,4,0,SC
2003,0,1,1,3,4,19,19,2,1,1,0,SC
2004,0,1,0,0,0,10,3,0,0,0,0,SC
2005,1,0,0,3,1,21,19,1,0,0,0,SC
2006,0,0,1,0,1,29,23,1,4,0,0,SC
2007,0,0,1,3,3,46,47,5,6,2,1,SC
2008,0,0,0,2,1,35,14,0,1,0,0,SC
2009,0,1,1,1,1,19,19,1,1,1,0,SC
2010,1,0,1,3,10,70,65,9,3,2,0,SC
2011,2,1,2,0,7,66,33,7,1,6,0,SC
2012,0,0,0,1,6,35,30,3,3,1,0,SC
2013,0,0,4,6,13,109,121,16,2,6,0,SC
2014,0,0,2,1,3,32,27,4,2,0,0,SC
2015,16,45,121,201,334,1600,1025,138,79,72,7,SC
2016,25,57,115,255,393,1643,1281,215,173,217,62,SC
2017,0,0,0,2,4,11,5,1,1,0,0,SC
2018,1,0,2,2,11,28,18,4,1,0,0,SC
2019,11,19,72,96,166,776,570,105,64,48,13,SC
2020,69,188,409,693,906,4837,3407,425,272,178,31,SC
2001,73,516,1499,3537,4654,21181,16210,2201,1588,1419,191,SP
2002,203,533,1302,2764,4463,18976,11802,1448,991,981,194,SP
2003,81,145,471,980,1276,6412,4601,611,424,417,83,SP
2004,21,27,112,216,272,1234,914,125,50,69,12,SP
2005,49,94,238,414,454,2209,2031,247,182,185,38,SP
2006,300,743,2143,3756,5307,23491,16826,2268,1730,1806,357,SP
2007,671,1452,3636,6946,10096,41538,29443,4068,3025,3226,718,SP
2008,82,146,323,605,698,3228,2410,295,210,210,47,SP
2009,80,134,342,707,796,3715,2753,338,300,230,55,SP
2010,1582,3444,7571,14407,17577,75597,51977,7324,5245,5548,1658,SP
2011,875,1830,3653,7192,8438,35635,26930,3922,2781,2934,765,SP
2012,204,328,790,1692,2211,9993,7346,1019,743,761,205,SP
2013,1666,3184,7170,14653,19869,80252,58406,8558,5857,5954,1737,SP
2014,1979,3266,7155,14003,19895,79407,57882,8762,6053,6308,1838,SP
2015,6345,11656,25477,46509,64714,256759,196527,32664,23327,26238,8365,SP
2016,1517,3061,5873,9729,14768,64476,47541,7557,5245,5625,1917,SP
2017,128,255,339,432,612,2492,1543,222,136,158,62,SP
2018,160,245,580,821,1149,5834,4493,732,483,508,162,SP
2019,3197,7483,17073,26892,32212,149131,119970,20888,15011,15171,5091,SP
2020,1518,3838,8056,11527,13760,70492,59391,9887,7231,7609,2702,SP
2001,23,41,106,177,298,1194,704,87,47,61,13,SE
2002,71,95,190,339,483,2159,1125,117,73,73,16,SE
2003,61,95,183,336,466,2184,1047,108,98,84,38,SE
2004,3,7,15,22,49,201,77,7,7,6,3,SE
2005,7,17,25,46,70,264,171,14,10,10,1,SE
2006,12,23,69,101,111,462,245,22,17,16,5,SE
2007,17,49,47,73,75,362,187,25,14,10,8,SE
2008,446,1609,2610,1967,1767,6311,2728,300,202,167,54,SE
2009,9,41,31,37,85,227,83,6,7,7,1,SE
2010,14,19,79,57,49,192,91,9,8,4,1,SE
2011,53,145,301,306,253,856,409,37,26,24,7,SE
2012,62,120,265,430,468,1763,777,59,30,36,12,SE
2013,16,22,26,45,65,255,87,8,8,8,3,SE
2014,29,86,159,190,246,908,373,34,17,25,8,SE
2015,145,195,391,487,598,2908,1728,224,158,190,69,SE
2016,34,74,149,162,198,746,399,52,67,53,29,SE
2017,2,14,24,20,42,141,43,2,1,4,6,SE
2018,8,9,13,24,18,68,40,0,3,3,0,SE
2019,175,447,1166,1091,645,1408,673,84,56,52,19,SE
2020,29,65,152,147,114,768,440,46,37,38,10,SE
2001,42,121,184,350,469,2108,1066,130,92,76,25,TO
2002,15,51,97,162,223,819,425,50,30,36,6,TO
2003,18,38,98,175,225,829,359,45,27,24,6,TO
2004,6,29,101,132,174,617,313,43,25,31,6,TO
2005,14,70,148,272,358,1482,654,63,52,43,13,TO
2006,33,102,283,471,665,2517,1218,128,83,94,19,TO
2007,136,369,737,1085,1465,5417,2439,222,180,205,51,TO
2008,107,306,673,770,897,3370,1716,187,130,124,36,TO
2009,64,156,263,382,402,1644,725,86,45,61,12,TO
2010,109,281,633,860,1020,3634,1646,199,141,151,42,TO
2011,119,363,664,831,1133,3967,1594,152,133,162,38,TO
2012,149,269,532,921,1335,4941,2157,215,165,166,52,TO
2013,81,170,415,629,946,3425,1607,205,144,128,43,TO
2014,46,77,181,255,447,1393,638,74,55,53,29,TO
2015,118,156,348,583,867,3117,1399,137,97,97,23,TO
2016,102,140,288,501,841,2807,1310,188,107,104,39,TO
2017,72,85,190,314,459,1652,840,73,67,86,50,TO
2018,49,66,120,201,281,966,504,52,36,45,17,TO
2019,200,475,982,1221,1531,4877,2537,283,186,188,73,TO
2020,25,41,102,128,200,806,366,28,33,24,7,TO
