,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
acre,0.0178776221187549,0.1034223827867371,0.10889991534457273,0.1787282418938548,0.2651648143488068,0.3461185441216063,0.12794028665664664,0.06625689896900197,0.053174119692245954,0.03865600939013579,0.08026612826295158,0.03930365331224432,0.044266070499804966
alagoas,-0.29148533050635167,-0.28523582966774835,-0.29089052507171825,-0.28385925723850347,-0.18724106048533615,-0.0727628727770736,-0.06871049467532066,-0.06333994353824914,-0.07998228071383369,-0.10633239612055784,-0.1531919737761383,-0.18406825427019216,-0.20913135744567438
amapas,-0.2241830692327435,-0.20373976431719062,-0.2017523166753833,-0.20192864974131872,-0.2514496150436139,-0.24730964126120325,-0.24011332960010004,-0.20565550928614035,-0.18719885141513581,-0.1982025205168124,-0.21293630762620525,-0.21905598049261,-0.2126429801162001
amazonas,0.17501771745198716,0.3600035209292001,0.41258405583558344,0.5155500330641847,0.9367928809704171,0.6875061772126544,0.6504874663700048,0.48516501584644073,0.2939535139690264,0.30426201499298977,0.261817558136627,0.23584086406414856,0.06491460205343975
bahia,-0.16939629382850893,-0.1633338482146327,-0.17415892420345647,-0.15820597679855197,-0.15277343378135072,-0.07325634314228242,0.006699265953528199,0.02141027888695455,0.012167127086563964,-0.01992205437368996,-0.05322877187890066,-0.061132571294687174,-0.12132246866360849
ceara,-0.24904263242678815,-0.2416405535839858,-0.20726746749812572,-0.18704743974689678,-0.15684459725902122,-0.07310967098261253,-0.0461768039072062,-0.014632013726102915,-0.04883337998534873,-0.027084727895069143,-0.032869163349334825,-0.048205442759398566,-0.09840527476856832
distrito_federal,-0.02761027137020097,-0.0013325724005411694,0.04126711899552681,0.02465677886572423,-0.046747274453180165,-0.03677678762557176,-0.012601610327485545,0.026909498318985745,0.04552982284620678,0.05007599493212304,0.05950616365991487,0.034649352907432436,0.045576990135180295
espirito_santo,-0.02773897040821071,-0.023662653150682875,-0.02054939454541102,0.028006589032180496,0.03958667086180973,0.03744900406351587,0.047690793660134595,0.04329987600472391,0.03884374774763109,0.0424008701304616,0.05873485911428283,0.09424315596072973,0.05892494523771701
goias,0.33847660204529373,0.34722556245702774,0.3006290994969065,0.2675566048292881,0.2551162254303535,0.22996173036588055,0.20156808976701177,0.14193917595976344,0.12807881297400395,0.12844752269372173,0.12444685324441568,0.09528649548589303,0.06900485126015263
maranhao,-0.15847501344975173,-0.15175069463866378,-0.1432665998976821,-0.1173317147823698,-0.025439532534788874,0.04743978955616763,0.0662496404282215,0.051190962590596016,0.008900334240056656,-0.012047982128594696,-0.03673254630957524,-0.0517128179081288,-0.07531737499889667
mato_grosso,0.007653792864844624,0.010125950986349089,-0.011305866335263655,-0.016427563157188473,-0.012585067416208172,0.0253206725997561,0.1874176162546336,0.1830229841318744,0.1728046013790424,0.07975512519354712,0.026334125580420583,0.026927748290483115,0.006785157269881053
mato_grosso_do_sul,0.061081094863020796,0.09522428417699513,0.16340764166373378,0.12147010444971619,0.11428692775435456,0.12189494662112818,0.12692566822951715,0.07430120517073098,0.07637986593594179,0.07486772620742568,0.06590293804500373,0.05540862693231594,0.03803020832951323
minas_gerais,0.10727930962303979,0.12230099969141102,0.13644907633900902,0.16681172253626655,0.15578303458934942,0.19553899363597949,0.19607890420906704,0.11944893915043908,0.10589493220280918,0.10245554392096637,0.12225185793346849,0.1006222564406988,0.06256912263492417
para,-0.08304844151887306,-0.08053760532537313,-0.06566600687066955,-0.05637562662322613,-0.037769562176908834,-0.023872106729791426,-0.020456573692719106,-0.026491606352548998,-0.024085769673431897,-0.03641680150958902,-0.034515049875032726,-0.05066475097381861,-0.04502951594595041
paraiba,-0.43595076223522644,-0.43037764927068756,-0.4359447204058088,-0.4168338720308318,-0.3779278728005499,-0.3033367231145437,-0.2941743363189818,-0.23873225877071683,-0.23317503309758675,-0.22635718713011635,-0.2656334124170875,-0.28844565947205936,-0.3252666815053896
parana,0.1694448305558518,0.17989638043397105,0.19487709645992374,0.2631160102838046,0.11126608801555946,0.12409785284628932,0.1293908819366834,0.11461183644549705,0.1413997579616177,0.14319904109435447,0.09011380167839717,0.04614612480189966,0.030217419670445736
pernambuco,-0.45803408079918323,-0.45135256257092227,-0.4435927714140208,-0.38601410514740403,-0.24213538317450772,-0.1486319958987673,-0.1096547686153598,-0.13693764838013703,-0.19261602707149822,-0.22545090827243774,-0.2799235627336901,-0.3147443341192917,-0.38408224636020316
piaui,-0.027743268316445756,-0.03128997216748414,-0.03523747550515965,-0.027037562209021856,0.008561016937502245,0.04911095577096608,0.06393300148377265,0.06668440090119034,0.0715848154885649,0.08642282663939492,0.08607796185911953,0.07487337665685209,0.05121784296570952
rio_de_janeiro,0.2108793798993885,0.2246325943352677,0.20161011176121377,0.23401739913212657,0.27986237021574994,0.49935273436049865,0.509502707843775,0.5076956314655814,0.4405222532667392,0.418921435040235,0.35087156480614545,0.225073152351194,0.11566293824862836
rio_grande_do_norte,-0.4195263275427295,-0.41047043827962715,-0.3908414516324278,-0.3799695852578819,-0.3119411386218269,-0.1345737389520304,-0.11974510243378177,-0.1265668610284784,-0.23445735668502926,-0.25711727207953494,-0.29328603186776914,-0.3454491733599278,-0.3544716470578928
rio_grande_do_sul,0.1057265039040358,0.10011734297570482,-0.011870725342559212,0.07442129997945279,0.007408343121851581,0.03282046198059692,0.0388431321777989,-0.07790583260102284,-0.048813237696380074,-0.04125642474644538,0.08593552448298461,0.1226699394766071,-0.023378602684916296
rondonia,0.003616756209213608,-0.02760674639571106,-0.029010537701457253,-0.022478550815221588,0.0006468479495342557,0.005093258542205246,-0.009225350598080502,-0.0029642371666356543,0.005601528717479452,0.025974524807510255,0.024247560237057562,0.024103029413389897,0.004525797631197149
roraima,-0.3982922224794783,-0.4359073474711525,-0.44204173328412766,-0.47104692117288,-0.449704095767708,-0.2941185215084242,-0.28262136537964294,-0.32249964474806025,-0.350633417500862,-0.3563805453554275,-0.28502942313299523,-0.29164002063553846,-0.35387882102110896
santa_catarina,0.000896829984403183,0.05671602668439484,0.08147146697808143,0.07051488876778683,0.04714382648607693,0.0035148944307355043,0.04258165471991678,-0.02655791318486245,-0.03644598429555903,-0.0600238132644246,0.024788889599233335,0.059131914962238304,0.0832945482466458
sao_paulo,0.31317459415325993,0.3399763003339205,0.337230994407113,0.3480775325482393,0.27044283560209836,0.2949831407804634,0.27952920057819847,0.3002749538502892,0.27720021859124977,0.28189572834795745,0.23141541752245604,0.19890359733598711,0.12465868672000796
sergipe,-0.5339186362368646,-0.5283988183467137,-0.5229342887403425,-0.5100476236476292,-0.5052791580807661,-0.24484458500266534,-0.22596603889737757,-0.20801905867170667,-0.24244178965154786,-0.20358825082740328,-0.18630655020733872,-0.24301431304658852,-0.3827082325792277
tocantins,-0.1437201765096946,-0.11834440894507134,-0.10584544808972468,-0.08878698626918376,-0.065239770164693,-0.00850543322783407,0.0038680487589684894,0.012725390109369919,-0.01826227214982796,-0.03253289389862995,-0.06632021876782543,-0.08476829262573467,-0.10702939441281341
